Solvent,Enzyme,Temperature,aN,bN,aD,bD,m,D50
EtOH,PpXenB,40,0.7059958655188674,0.0,0.19347248572629475,0.0,509.52893380926207,7.06189966777856
EtOH,PpXenB,45,0.8596490507954384,0.0007782665437589752,0.025735214875025066,0.0,1429.1274078703216,12.317054594756037
EtOH,PpXenB,50,0.8775690184753474,0.00040616231630167794,0.02661854176341601,2.8873516770269723e-05,1441.5022309049414,13.985278830346166
EtOH,PpXenB,60,0.896303895674858,0.0,0.03151769715987182,0.0,1441.939079458126,12.45366414055191
EtOH,PpXenB,70,0.9119724422044323,0.0,0.025085472090567197,0.0,1442.947617120046,11.253126107172038
EtOH,PpXenB,80,0.9193797585190737,0.001757918622951497,0.0,0.0,1490.806374559704,18.737114174738295
EtOH,RmER,25,0.7744633026065834,0.003877830332691313,0.11324586775152248,0.0024187152315236536,14084.890347288732,22.653812578058016
EtOH,RmER,30,0.7763557748622092,0.005445874410620726,0.148724232433433,0.0,15231.350644481137,22.746102102445523
EtOH,RmER,35,0.8019603264891478,0.005705360415606132,0.125926768193482,0.0,35277.14140886903,23.842695201475365
EtOH,RmER,40,0.8434583713859967,0.004608173668716759,0.13183406262726027,0.0,24933.542847572524,23.56190692995894
EtOH,RmER,45,0.8972461867936904,0.00199928481104641,0.1271903599765272,0.0014754559512425765,13788.321727362927,22.854062899474933
EtOH,RmER,50,0.8944979240616411,0.002833584660686693,0.16024873533089662,7.602689713650164e-05,37745.17762856217,22.63288163647158
EtOH,RmER,60,0.9458546431000736,4.2547013019591154e-05,0.21327497042106708,0.0002229877938998518,1567.5613512369193,22.838915391951694
EtOH,RmER,70,0.9408319279440227,0.00219308204350113,0.15790815911395867,0.0,14522.332402739175,22.717529197298862
EtOH,RmER,80,0.957752778254702,0.0027263989287924805,0.13407313781361108,0.0,14076.20347339014,22.563873727140738
EtOH,TsOYE,25,0.7559121434374214,0.0,0.0,0.0,1498.2229662273405,19.01069630450642
EtOH,TsOYE,30,0.7602481083855948,0.0,0.0,0.0,1498.1489678364123,19.007338828890802
EtOH,TsOYE,35,0.7666118366565144,0.0,0.0,0.0,1497.9987780528656,19.008580015807606
EtOH,TsOYE,40,0.7786393978721429,0.0,0.0,4.930249507499722e-06,1497.4878917693577,19.033692597289573
EtOH,TsOYE,45,0.7807729973300396,0.0,0.0,0.002941783788259532,2748.286709709138,32.23607796474044
EtOH,TsOYE,50,0.7896966058239545,0.0,0.0,0.0047958210898343115,1939.626349743866,30.016461293060395
EtOH,TsOYE,60,0.8082356426035358,0.0,0.026900185698661296,0.004369664724910735,1835.55261240103,20.163583361823978
